t,E,N,Alt,HDOP
1759769712.0,328114.8966527252,4689439.989349401,23.22,0.8
1759769713.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769714.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769715.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769716.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769717.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769718.0,328114.89679003146,4689439.989346031,23.22,0.8
1759769719.0,328114.8966527252,4689439.989349401,23.22,0.8
1759769720.0,328114.89597982785,4689439.989921458,23.221,0.9
1759769721.0,328114.896648184,4689439.98916433,23.22,0.8
1759769722.0,328114.89611713204,4689439.989918089,23.221,0.9
1759769723.0,328114.896515421,4689439.989352769,23.221,0.9
1759769724.0,328114.896515421,4689439.989352769,23.221,0.9
1759769725.0,328114.896515421,4689439.989352769,23.222,0.9
1759769726.0,328114.896515421,4689439.989352769,23.222,0.9
1759769727.0,328114.8966527252,4689439.989349401,23.222,0.9
1759769728.0,328114.8966527252,4689439.989349401,23.222,0.9
1759769729.0,328114.8966527252,4689439.989349401,23.222,0.9
1759769730.0,328114.896648184,4689439.98916433,23.222,0.9
1759769731.0,328114.896648184,4689439.98916433,23.222,0.9
1759769732.0,328114.896648184,4689439.98916433,23.221,0.9
1759769733.0,328114.896648184,4689439.98916433,23.222,0.9
1759769734.0,328114.896648184,4689439.98916433,23.221,0.9
1759769735.0,328114.896648184,4689439.98916433,23.221,0.9
1759769736.0,328114.8966436428,4689439.98897926,23.221,0.9
1759769737.0,328114.8966436428,4689439.98897926,23.221,0.9
1759769416.0,328115.11701823375,4689440.812261532,24.733,0.8
1759769417.0,328115.1058046694,4689440.814388506,24.821,0.8
1759769418.0,328115.09736898483,4689440.817743594,24.876,0.8
1759769419.0,328115.0849004476,4689440.824716094,24.96,0.8
1759769420.0,328115.07530381967,4689440.819951656,24.908,0.8
1759769421.0,328115.06649923255,4689440.813871508,24.8,0.8
1759769422.0,328115.06027057173,4689440.811987344,24.661,0.8
1759769423.0,328115.05593452824,4689440.797649539,24.513,0.8
1759769424.0,328115.04808733263,4689440.763398227,24.176,0.8
1759769425.0,328115.040290357,4689440.753589714,24.053,0.8
1759769426.0,328115.0324786892,4689440.748781478,23.922,0.8
1759769427.0,328115.0370834685,4689440.746075938,23.896,0.8
1759769428.0,328115.0417959009,4689440.73096056,23.85,0.8
1759769429.0,328115.0411943272,4689440.717642211,23.831,0.8
1759769430.0,328115.0461973954,4689440.714371356,23.818,0.8
1759769431.0,328115.0524872268,4689440.707550462,23.89,0.8
1759769432.0,328115.0693065061,4689440.709915489,23.924,0.8
1759769433.0,328115.08502974774,4689440.723603515,24.028,0.8
1759769434.0,328115.1086303729,4689440.733579791,24.082,0.8
1759769435.0,328115.1296051167,4689440.73732431,24.104,0.8
1759769436.0,328115.1412033465,4689440.7340768045,24.112,0.8
1759769437.0,328115.15130271064,4689440.742532548,24.156,0.8
1759769438.0,328115.16140875535,4689440.740062386,24.147,0.8
1759769439.0,328115.16935772926,4689440.744867251,24.149,0.8
1759769440.0,328115.17051066086,4689440.747061146,24.123,0.8
1759769441.0,328115.172152703,4689440.752391134,24.067,0.8
1759769442.0,328115.16988424206,4689440.743928422,24.013,0.8
1759769443.0,328115.1648322873,4689440.739608014,23.942,0.8
1759769444.0,328115.1651499078,4689440.730155936,23.883,0.8
1759769445.0,328115.1599173744,4689440.712877218,23.788,0.8
1759769446.0,328115.15687610593,4689440.700915007,23.776,0.8
1759769447.0,328115.1558887963,4689440.694272679,23.742,0.8
1759769448.0,328115.14947394887,4689440.684800616,23.697,0.8
1759769449.0,328115.1496609416,4689440.664426002,23.654,0.8
1759769450.0,328115.1469928543,4689440.639677072,23.579,0.8
1759769451.0,328115.1437824934,4689440.626422739,23.551,0.8
1759769452.0,328115.14257827564,4689440.605341533,23.518,0.8
1759769453.0,328115.1412968577,4689440.581114124,23.473,0.8
1759769454.0,328115.14070783695,4689440.573906477,23.463,0.8
1759769455.0,328115.1393868815,4689440.564864969,23.455,0.8
1759769456.0,328115.134592443,4689440.554242054,23.439,0.8
1759769457.0,328115.1267545967,4689440.542767905,23.435,0.8
1759769458.0,328115.1194908123,4689440.5210946575,23.424,0.8
1759769459.0,328115.10757122445,4689440.505646659,23.382,0.8
1759769460.0,328115.0977985607,4689440.48810898,23.389,0.8
1759769461.0,328115.08858766843,4689440.476668525,23.369,0.8
1759769462.0,328115.07613809715,4689440.456418795,23.38,0.8
1759769463.0,328115.0606360398,4689440.434947695,23.383,0.8
1759769464.0,328115.05242367456,4689440.41940873,23.352,0.8
1759769465.0,328115.0497569245,4689440.411511337,23.371,0.8
1759769466.0,328115.042251653,4689440.407991858,23.345,0.8
1759769467.0,328115.03685457,4689440.389606085,23.37,0.8
1759769468.0,328115.0377804403,4689440.382546446,23.37,0.8
1759769469.0,328115.0408032795,4689440.37136135,23.397,0.8
1759769470.0,328115.0415929142,4689440.358749595,23.393,0.8
1759769471.0,328115.0420590604,4689440.33855331,23.391,0.8
1759769472.0,328115.0408436185,4689440.328212938,23.375,0.8
1759769473.0,328115.03988355584,4689440.322681034,23.34,0.8
1759769474.0,328115.03517994087,4689440.315759532,23.28,0.8
1759769475.0,328115.0318312027,4689440.308064054,23.249,0.8
1759769476.0,328115.03075654386,4689440.303460872,23.227,0.8
1759769477.0,328115.0341720602,4689440.2970808735,23.229,0.8
1759769478.0,328115.03435130784,4689440.293187652,23.225,0.8
1759769479.0,328115.0331449504,4689440.283217421,23.23,0.8
1759769480.0,328115.03372809675,4689440.273388464,23.23,0.8
1759769481.0,328115.03235157626,4689440.267681596,23.235,0.8
1759769482.0,328115.02905947575,4689440.25109599,23.241,0.8
1759769483.0,328115.0225209451,4689440.24218251,23.237,0.8
1759769484.0,328115.01389453,4689440.2377646305,23.249,0.8
1759769485.0,328115.0077668454,4689440.234396529,23.26,0.8
1759769486.0,328115.0059885653,4689440.223514422,23.262,0.8
1759769487.0,328115.0050295712,4689440.2124270275,23.274,0.8
1759769488.0,328115.0007116921,4689440.1988295065,23.283,0.8
1759769489.0,328114.9945714524,4689440.189350706,23.279,0.8
1759769490.0,328114.98773213476,4689440.173778051,23.299,0.8
1759769491.0,328114.9839704175,4689440.17164817,23.306,0.8
1759769492.0,328114.98201288993,4689440.164659284,23.333,0.8
1759769493.0,328114.97856772237,4689440.158632813,23.356,0.8
1759769494.0,328114.97445873567,4689440.15354854,23.368,0.8
1759769495.0,328114.9740185075,4689440.158003709,23.363,0.8
1759769496.0,328114.9711612902,4689440.164740375,23.355,0.8
1759769497.0,328114.97045205923,4689440.163831866,23.354,0.8
1759769498.0,328114.97154595563,4689440.163619843,23.357,0.8
1759769499.0,328114.96686050517,4689440.157438622,23.374,0.8
1759769500.0,328114.96045260027,4689440.159447677,23.388,0.8
1759769501.0,328114.9542364959,4689440.16367421,23.404,0.8
1759769502.0,328114.9467857183,4689440.162375579,23.418,0.8
1759769503.0,328114.9431329875,4689440.164687393,23.418,0.8
1759769504.0,328114.9398614536,4689440.160138117,23.421,0.8
1759769505.0,328114.93304724596,4689440.156786861,23.417,0.8
1759769506.0,328114.93354196835,4689440.154552539,23.414,0.8
1759769507.0,328114.9355344899,4689440.146170455,23.405,0.8
1759769508.0,328114.9354265699,4689440.13617327,23.393,0.8
1759769509.0,328114.93533120485,4689440.132286786,23.39,0.8
1759769510.0,328114.9344403264,4689440.123975454,23.38,0.8
