t,E,N,Alt,HDOP
1759101932.0,328898.16387238505,4687894.862715814,21.8,1.1
1759101933.0,328898.58039394766,4687895.037727337,21.9,1.1
1759101934.0,328899.1252133762,4687894.839245753,21.9,1.1
1759101935.0,328899.81188551197,4687894.822481506,21.9,1.1
1759101936.0,328900.2193705553,4687894.627352853,21.7,1.1
1759101937.0,328900.3386320509,4687893.883719474,21.5,1.1
1759101938.0,328900.59522804094,4687893.13673327,21.3,1.1
1759101939.0,328900.5816733653,4687892.581522863,21.1,1.1
1759101940.0,328900.6964167279,4687891.652819359,21.0,1.1
1759101941.0,328900.39463838725,4687890.549104198,20.7,2.5
1759101942.0,328900.1018964297,4687889.815529319,20.3,1.8
1759101943.0,328899.68085636594,4687889.455447564,20.1,1.8
1759101944.0,328899.5344853366,4687889.088660137,20.0,1.8
1759101945.0,328899.3926325466,4687888.906942847,20.0,2.5
1759101946.0,328899.65374690265,4687888.345026754,19.9,2.5
1759101947.0,328899.37004129274,4687887.981592172,19.8,2.5
1759101948.0,328899.36100479227,4687887.611451903,19.7,2.5
1759101949.0,328899.077299142,4687887.2480173325,19.6,2.5
1759101950.0,328898.78907519503,4687886.699512642,19.6,2.5
1759101951.0,328898.78455693123,4687886.514442506,19.7,2.5
1759101952.0,328898.5053694808,4687886.336078093,19.8,2.5
1759101953.0,328898.22166373587,4687885.972643559,19.8,2.5
1759101954.0,328898.208108903,4687885.417433153,19.9,2.5
1759101955.0,328898.3273704206,4687884.673799749,20.0,2.5
1759101956.0,328898.5930031412,4687884.296953755,20.1,2.5
1759101957.0,328898.8586358954,4687883.920107771,20.1,2.5
1759101958.0,328899.1152321764,4687883.17312153,20.2,2.5
1759101959.0,328898.8405628642,4687883.179827235,20.2,2.5
1759101960.0,328898.8405628642,4687883.179827235,20.3,2.5
1759101961.0,328898.98693402944,4687883.54661465,20.4,2.5
1759101962.0,328898.71678299113,4687883.738390492,20.5,2.5
1759101963.0,328898.1764809647,4687884.121942214,20.5,2.5
1759101964.0,328897.379582928,4687885.2524802815,20.6,2.5
1759101965.0,328897.1139503104,4687885.629326323,20.6,2.5
1759101966.0,328896.5781668378,4687886.197948312,20.6,2.5
1759101967.0,328896.0514201269,4687887.136710612,20.4,1.1
1759101968.0,328895.5066001597,4687887.335192416,20.3,1.1
1759101969.0,328894.9662985855,4687887.718744402,20.2,1.1
1759101970.0,328894.30673604866,4687888.845929917,20.1,1.1
1759101971.0,328893.770953058,4687889.414552136,20.1,1.1
1759101972.0,328893.50532080175,4687889.79139833,20.1,1.1
1759101973.0,328893.2442069863,4687890.353314671,20.1,2.6
1759101974.0,328893.26228064945,4687891.093595216,20.2,2.5
1759101975.0,328892.9876116431,4687891.10030116,20.3,2.5
1759101976.0,328892.859313992,4687891.473794408,20.4,2.5
1759101977.0,328892.59368186945,4687891.8506406415,20.4,1.1
1759101978.0,328892.4744211336,4687892.594274172,20.3,1.1
1759101979.0,328892.3596788745,4687893.522977845,20.3,1.1
1759101980.0,328892.1166391183,4687894.825174789,20.2,1.1
1759101981.0,328892.01093387615,4687896.124018747,20.2,1.1
1759101982.0,328891.7724127788,4687897.61128585,20.3,1.1
1759101983.0,328891.538410278,4687899.283623107,20.5,1.1
1759101984.0,328891.4236683209,4687900.212326812,20.6,1.1
1759101985.0,328891.0252208065,4687900.777596271,20.7,1.1
1759101986.0,328890.63129186106,4687901.527935897,20.8,1.1
