t,E,N,Alt,HDOP
1759942239.0,328115.16935772926,4689440.744867251,24.149,0.8
1759942240.0,328115.17051066086,4689440.747061146,24.123,0.8
1759942241.0,328115.172152703,4689440.752391134,24.067,0.8
1759942242.0,328115.16988424206,4689440.743928422,24.013,0.8
1759942243.0,328115.1648322873,4689440.739608014,23.942,0.8
1759942244.0,328115.1651499078,4689440.730155936,23.883,0.8
1759942245.0,328115.1599173744,4689440.712877218,23.788,0.8
1759942246.0,328115.15687610593,4689440.700915007,23.776,0.8
1759942247.0,328115.1558887963,4689440.694272679,23.742,0.8
1759942248.0,328115.14947394887,4689440.684800616,23.697,0.8
1759942249.0,328115.1496609416,4689440.664426002,23.654,0.8
1759942250.0,328115.1469928543,4689440.639677072,23.579,0.8
1759942251.0,328115.1437824934,4689440.626422739,23.551,0.8
1759942252.0,328115.14257827564,4689440.605341533,23.518,0.8
1759942253.0,328115.1412968577,4689440.581114124,23.473,0.8
1759942254.0,328115.14070783695,4689440.573906477,23.463,0.8
1759942255.0,328115.1393868815,4689440.564864969,23.455,0.8
1759942256.0,328115.134592443,4689440.554242054,23.439,0.8
1759942257.0,328115.1267545967,4689440.542767905,23.435,0.8
1759942258.0,328115.1194908123,4689440.5210946575,23.424,0.8
1759942259.0,328115.10757122445,4689440.505646659,23.382,0.8
1759942260.0,328115.0977985607,4689440.48810898,23.389,0.8
1759942261.0,328115.08858766843,4689440.476668525,23.369,0.8
1759942262.0,328115.07613809715,4689440.456418795,23.38,0.8
1759942263.0,328115.0606360398,4689440.434947695,23.383,0.8
1759942264.0,328115.05242367456,4689440.41940873,23.352,0.8
1759942265.0,328115.0497569245,4689440.411511337,23.371,0.8
1759942266.0,328115.042251653,4689440.407991858,23.345,0.8
1759942267.0,328115.03685457,4689440.389606085,23.37,0.8
1759942268.0,328115.0377804403,4689440.382546446,23.37,0.8
1759942269.0,328115.0408032795,4689440.37136135,23.397,0.8
1759942270.0,328115.0415929142,4689440.358749595,23.393,0.8
1759942271.0,328115.0420590604,4689440.33855331,23.391,0.8
1759942272.0,328115.0408436185,4689440.328212938,23.375,0.8
1759942273.0,328115.03988355584,4689440.322681034,23.34,0.8
1759942274.0,328115.03517994087,4689440.315759532,23.28,0.8
1759942275.0,328115.0318312027,4689440.308064054,23.249,0.8
1759942276.0,328115.03075654386,4689440.303460872,23.227,0.8
1759942277.0,328115.0341720602,4689440.2970808735,23.229,0.8
1759942278.0,328115.03435130784,4689440.293187652,23.225,0.8
1759942279.0,328115.0331449504,4689440.283217421,23.23,0.8
1759942280.0,328115.03372809675,4689440.273388464,23.23,0.8
1759942281.0,328115.03235157626,4689440.267681596,23.235,0.8
1759942282.0,328115.02905947575,4689440.25109599,23.241,0.8
1759942283.0,328115.0225209451,4689440.24218251,23.237,0.8
1759942284.0,328115.01389453,4689440.2377646305,23.249,0.8
1759942285.0,328115.0077668454,4689440.234396529,23.26,0.8
1759942286.0,328115.0059885653,4689440.223514422,23.262,0.8
1759942287.0,328115.0050295712,4689440.2124270275,23.274,0.8
1759942288.0,328115.0007116921,4689440.1988295065,23.283,0.8
1759942289.0,328114.9945714524,4689440.189350706,23.279,0.8
1759942290.0,328114.98773213476,4689440.173778051,23.299,0.8
1759942291.0,328114.9839704175,4689440.17164817,23.306,0.8
1759942292.0,328114.98201288993,4689440.164659284,23.333,0.8
1759942293.0,328114.97856772237,4689440.158632813,23.356,0.8
1759942294.0,328114.97445873567,4689440.15354854,23.368,0.8
1759942295.0,328114.9740185075,4689440.158003709,23.363,0.8
1759942296.0,328114.9711612902,4689440.164740375,23.355,0.8
1759942297.0,328114.97045205923,4689440.163831866,23.354,0.8
1759942298.0,328114.97154595563,4689440.163619843,23.357,0.8
1759942299.0,328114.96686050517,4689440.157438622,23.374,0.8
1759942300.0,328114.96045260027,4689440.159447677,23.388,0.8
1759942301.0,328114.9542364959,4689440.16367421,23.404,0.8
1759942302.0,328114.9467857183,4689440.162375579,23.418,0.8
1759942303.0,328114.9431329875,4689440.164687393,23.418,0.8
1759942304.0,328114.9398614536,4689440.160138117,23.421,0.8
1759942305.0,328114.93304724596,4689440.156786861,23.417,0.8
1759942306.0,328114.93354196835,4689440.154552539,23.414,0.8
1759942307.0,328114.9355344899,4689440.146170455,23.405,0.8
1759942308.0,328114.9354265699,4689440.13617327,23.393,0.8
1759942309.0,328114.93533120485,4689440.132286786,23.39,0.8
1759942310.0,328114.9344403264,4689440.123975454,23.38,0.8
1759942311.0,328114.93663827,4689440.118366059,23.37,0.8
1759942312.0,328114.93682659575,4689440.114842979,23.369,0.8
1759942313.0,328114.9330002334,4689440.115677598,23.362,0.8
1759942314.0,328114.9324510146,4689440.115691075,23.362,0.8
1759942315.0,328114.9321900298,4689440.116253024,23.357,0.8
1759942316.0,328114.9335131226,4689440.114183556,23.343,0.8
1759942317.0,328114.9351901631,4689440.104142575,23.337,0.8
1759942318.0,328114.9318721466,4689440.103298081,23.33,0.8
1759942319.0,328114.92934162775,4689440.100952807,23.325,0.8
1759942320.0,328114.928454224,4689440.098382033,23.329,0.8
1759942321.0,328114.928659646,4689440.101154723,23.333,0.8
1759942322.0,328114.9340700902,4689440.097688686,23.335,0.8
1759942323.0,328114.93982325634,4689440.096991973,23.331,0.8
1759942324.0,328114.94181470945,4689440.0941653745,23.336,0.8
1759942325.0,328114.94296416646,4689440.090618711,23.328,0.8
1759942326.0,328114.9464261674,4689440.080533929,23.323,0.8
1759942327.0,328114.94969636784,4689440.068231671,23.32,0.8
1759942328.0,328114.9572740317,4689440.052305259,23.312,0.8
1759942329.0,328114.96299194114,4689440.044572489,23.307,0.8
1759942330.0,328114.96858616994,4689440.037398302,23.301,0.8
1759942331.0,328114.9716805976,4689440.0347298235,23.288,0.8
1759942332.0,328114.97266550537,4689440.030076104,23.284,0.8
1759942333.0,328114.9744242894,4689440.023366395,23.275,0.8
1759942334.0,328114.9752628065,4689440.018345903,23.263,0.8
1759942335.0,328114.97251778544,4689440.012857796,23.262,0.8
1759942336.0,328114.9748065508,4689440.010949817,23.259,0.8
1759942337.0,328114.9751604985,4689440.002978303,23.258,0.8
1759942338.0,328114.97423222405,4689439.998741892,23.253,0.8
1759942339.0,328114.971769823,4689439.999172677,23.247,0.8
1759942340.0,328114.9704841282,4689439.997167223,23.243,0.8
1759942341.0,328114.9664478005,4689439.995044081,23.246,0.8
1759942342.0,328114.96122568613,4689439.994987035,23.248,0.8
1759942343.0,328114.96052099846,4689439.9942636,23.253,0.8
1759942344.0,328114.9606038084,4689439.992039383,23.254,0.8
1759942345.0,328114.9634054629,4689439.98863736,23.255,0.8
1759942346.0,328114.96661448886,4689439.985040158,23.252,0.8
1759942347.0,328114.96520057437,4689439.983408213,23.249,0.8
1759942348.0,328114.96422581957,4689439.982876587,23.242,0.8
1759942349.0,328114.95910815045,4689439.987076164,23.238,0.8
1759942350.0,328114.9546123592,4689439.994223402,23.235,0.8
1759942351.0,328114.95244727447,4689439.995572802,23.23,0.8
1759942352.0,328114.9521171033,4689439.99891418,23.226,0.8
1759942353.0,328114.951892448,4689440.000956694,23.223,0.8
1759942354.0,328114.94792423607,4689440.001609612,23.219,0.8
