t,E,N,Alt,HDOP
1759103082.0,328946.08820069407,4687882.211674595,25.1,1.0
1759103083.0,328946.22553534294,4687882.208322668,25.1,1.1
1759103084.0,328946.358352988,4687882.019900616,25.1,1.1
1759103085.0,328946.4956876383,4687882.016548694,25.1,1.1
1759103086.0,328946.6285052965,4687881.828126647,25.1,1.1
1759103087.0,328947.03599227715,4687881.633000782,25.1,1.0
1759103088.0,328947.44799625175,4687881.622945065,24.7,1.0
1759103089.0,328947.71363163914,4687881.2461010115,24.8,1.1
1759103090.0,328948.1211186816,4687881.050975208,24.7,1.8
1759103091.0,328948.25393640005,4687880.862553195,24.7,1.8
1759103092.0,328948.3957880203,4687881.0442714365,24.8,1.1
1759103093.0,328948.6749742959,4687881.222637806,24.8,1.0
1759103094.0,328949.21979603375,4687881.02416019,24.8,1.0
1759103095.0,328949.63180004247,4687881.014104603,24.8,1.1
1759103096.0,328949.9064693807,4687881.007400892,24.8,1.0
1759103097.0,328949.7646178006,4687880.8256826205,24.7,1.1
1759103098.0,328949.90195247444,4687880.822330766,24.7,1.1
1759103099.0,328949.9064693807,4687881.007400892,24.7,1.1
1759103100.0,328949.9109862872,4687881.192471021,24.8,1.0
1759103101.0,328949.91550319386,4687881.377541146,24.8,1.0
1759103102.0,328949.9200201006,4687881.562611275,24.9,1.3
1759103103.0,328949.9200201006,4687881.562611275,24.9,2.4
1759103104.0,328949.92453700746,4687881.747681399,24.9,2.4
1759103105.0,328950.33654097025,4687881.737625852,24.9,2.4
1759103106.0,328950.3275071784,4687881.367485599,24.8,2.4
1759103107.0,328950.3275071784,4687881.367485599,24.8,2.4
1759103108.0,328950.0392871462,4687880.818978915,24.7,2.4
1759103109.0,328950.0392871462,4687880.818978915,24.7,2.4
1759103110.0,328949.9064693807,4687881.007400892,24.7,2.4
1759103111.0,328949.63180004247,4687881.014104603,24.7,2.4
1759103112.0,328949.76010089077,4687880.640612494,24.7,2.4
1759103113.0,328949.75106707163,4687880.270472241,24.7,2.4
1759103114.0,328950.4377404888,4687880.253712997,24.6,2.4
1759103115.0,328950.2913720167,4687879.886924589,24.6,2.4
1759103116.0,328949.4492962066,4687879.166755199,24.5,2.4
1759103117.0,328949.1701098726,4687878.988388802,24.5,2.4
1759103118.0,328948.4879532709,4687879.190218291,24.5,2.4
1759103119.0,328948.77165654826,4687879.553654789,24.5,2.4
1759103120.0,328949.0372920932,4687879.176810794,24.5,2.4
1759103121.0,328949.4583300386,4687879.536895451,24.5,2.4
1759103122.0,328949.4763977042,4687880.277175957,24.5,2.4
1759103123.0,328949.3661645461,4687881.39094858,24.5,2.4
1759103124.0,328950.06638856453,4687881.929399675,24.5,2.4
1759103125.0,328950.90846399823,4687882.649569129,24.5,2.4
1759103126.0,328951.187650144,4687882.827935593,24.5,2.4
1759103127.0,328951.0548323912,4687883.016357551,24.5,2.4
1759103128.0,328951.3340185211,4687883.194724021,24.5,2.4
1759103129.0,328950.90846399823,4687882.649569129,24.5,2.4
1759103130.0,328950.2172739146,4687882.481258206,24.5,1.6
1759103131.0,328949.2423806583,4687881.949510826,24.6,1.6
1759103132.0,328948.42288970086,4687882.1546922,24.6,1.6
1759103133.0,328948.4183727538,4687881.969622073,24.6,1.6
1759103134.0,328948.4138558067,4687881.784551945,24.7,1.6
1759103135.0,328948.6794912352,4687881.4077079315,24.7,1.6
1759103136.0,328948.4003049667,4687881.229341566,24.8,1.6
1759103137.0,328947.71363163914,4687881.2461010115,24.8,1.6
1759103138.0,328947.4344453358,4687881.067734681,24.8,1.4
1759103139.0,328946.87607268593,4687880.711002056,24.8,1.4
1759103140.0,328946.59688634146,4687880.532635759,24.8,1.4
