t,E,N,Alt,HDOP
1759102690.0,328973.69863123505,4687904.31502254,21.3,2.6
1759102691.0,328974.3898185181,4687904.483335703,21.5,2.6
1759102692.0,328974.81988623587,4687905.213562072,21.6,2.6
1759102693.0,328975.93662469415,4687905.927031649,21.8,2.6
1759102694.0,328977.044330469,4687906.270361139,22.0,2.6
1759102695.0,328977.7490660924,4687906.993885012,22.2,2.6
1759102696.0,328978.7284698307,4687907.710706342,22.4,1.8
1759102697.0,328978.88386868255,4687908.447635558,22.6,1.8
1759102698.0,328979.1720854305,4687908.996143354,22.6,2.4
1759102699.0,328980.5363941893,4687908.592490274,22.7,2.4
1759102700.0,328981.236613102,4687909.130944353,22.8,2.4
1759102701.0,328981.9097352942,4687908.558977723,23.1,5.1
1759102702.0,328982.1844035154,4687908.552275246,23.2,5.1
1759102703.0,328982.8710740672,4687908.535519098,23.3,5.1
1759102704.0,328982.0515855033,4687908.740696613,23.3,1.5
1759102705.0,328981.5022490752,4687908.754101589,23.2,1.2
1759102706.0,328981.22758086317,4687908.760804095,23.2,1.1
1759102707.0,328980.54994260176,4687909.147700662,23.2,1.4
1759102708.0,328980.14245645184,4687909.34282461,23.2,1.4
1759102709.0,328979.45578597335,4687909.359581026,22.9,2.9
1759102710.0,328978.9019334065,4687909.187916079,22.8,2.9
1759102711.0,328977.91349746945,4687908.100954471,22.6,2.9
1759102712.0,328977.3731934226,4687908.484500031,22.5,2.9
1759102713.0,328976.39378963737,4687907.767678889,22.3,1.7
1759102714.0,328975.55171979545,4687907.047506513,22.2,1.4
1759102715.0,328974.9752855352,4687905.950491215,22.1,1.3
1759102716.0,328973.97329963,4687904.308319746,22.1,1.3
1759102717.0,328973.39234860684,4687903.0262344405,21.9,1.3
1759102718.0,328972.94873163785,4687901.740797766,21.9,1.3
1759102719.0,328972.08407900285,4687900.095275134,21.6,1.3
1759102720.0,328971.3793421261,4687899.371751796,21.5,1.3
1759102721.0,328970.8119394207,4687898.644877075,21.3,1.3
1759102722.0,328970.2400202077,4687897.732932268,21.3,1.3
1759102723.0,328969.12327988143,4687897.019463552,21.3,1.3
1759102724.0,328968.40499308374,4687895.740730117,21.2,1.3
1759102725.0,328967.8285568877,4687894.643715366,21.2,1.3
1759102726.0,328967.38493847183,4687893.358279013,21.0,1.3
1759102727.0,328967.07413788314,4687891.884421035,20.9,1.0
1759102728.0,328966.63503566856,4687890.784054851,20.7,1.0
1759102729.0,328965.90771486587,4687889.135181397,20.7,1.0
1759102730.0,328965.1894267688,4687887.856448265,20.8,1.0
1759102731.0,328964.4756549564,4687886.762785327,20.7,1.0
1759102732.0,328963.61551525875,4687885.30233379,20.7,1.0
1759102733.0,328963.03456099995,4687884.0202492755,20.6,1.0
1759102734.0,328962.44908996706,4687882.553094682,20.4,1.0
1759102735.0,328961.8636187089,4687881.085940134,20.4,1.0
1759102736.0,328961.4199985191,4687879.800504127,20.5,1.0
1759102737.0,328960.7017087606,4687878.52177142,20.3,1.0
1759102738.0,328959.98793538974,4687877.4281089045,20.1,1.0
1759102739.0,328959.402463263,4687875.960954546,20.1,1.0
1759102740.0,328958.96335902245,4687874.860588804,20.0,1.0
1759102741.0,328958.5242546564,4687873.760223091,19.9,1.0
1759102742.0,328958.2134516421,4687872.286365465,19.8,1.1
1759102743.0,328957.6324954803,4687871.004281366,19.8,1.0
1759102744.0,328956.91420423693,4687869.725549018,19.7,1.0
1759102745.0,328955.8019749443,4687869.197152407,19.8,1.5
1759102746.0,328954.5524105728,4687868.672107722,19.8,1.1
1759102747.0,328953.83411854616,4687867.393375668,19.6,1.1
1759102748.0,328952.84115635377,4687866.121347253,19.5,1.1
1759102749.0,328951.9900456242,4687865.031037289,19.4,1.1
1759102750.0,328951.28078649007,4687864.122445724,19.2,1.1
1759102751.0,328950.5715271756,4687863.213854232,19.1,1.2
1759102752.0,328949.86678456375,4687862.490332923,19.1,1.4
1759102753.0,328949.16655870737,4687861.951881806,19.1,1.2
1759102754.0,328948.59463397285,4687861.0399386445,19.1,1.2
1759102755.0,328948.0272260208,4687860.313065648,19.1,1.2
1759102756.0,328947.1806308263,4687859.407826357,19.0,1.2
1759102757.0,328946.2057342504,4687858.876079315,18.9,1.2
1759102758.0,328945.2263205254,4687858.159262284,18.9,1.2
1759102759.0,328944.52609388216,4687857.62081161,18.9,1.2
1759102760.0,328943.825867131,4687857.082361003,19.3,1.0
1759102761.0,328942.7136348153,4687856.553966393,19.2,1.8
1759102762.0,328941.74777166103,4687856.392360195,19.2,1.8
1759102763.0,328941.0385103606,4687855.483769615,19.3,1.8
1759102764.0,328940.196430809,4687854.763601252,19.2,1.8
1759102765.0,328939.76183956396,4687853.848306741,19.0,1.8
1759102766.0,328938.7688729915,4687852.576280214,18.9,1.8
1759102767.0,328937.90420696844,4687850.930761506,18.8,1.8
1759102768.0,328936.91575687873,4687849.843805345,18.9,1.8
1759102769.0,328935.9227892595,4687848.571779196,19.0,1.8
1759102770.0,328934.9253040375,4687847.114683057,19.0,1.8
1759102771.0,328934.2024891601,4687845.650882768,19.0,1.8
1759102772.0,328933.2140377921,4687844.563927099,19.1,1.8
1759102773.0,328932.62855774874,4687843.096774803,19.1,2.7
1759102774.0,328932.1894475708,4687841.99641061,19.0,2.7
1759102775.0,328932.15330902906,4687840.51584966,18.9,2.7
1759102776.0,328931.4350103213,4687839.237119751,19.0,2.7
1759102777.0,328931.1242005967,4687837.763263194,18.9,2.7
1759102778.0,328930.9507263208,4687836.286054449,18.9,2.7
1759102779.0,328930.6489511117,4687835.182338148,18.8,2.7
1759102780.0,328930.2098402172,4687834.081974069,18.8,1.8
1759102781.0,328929.77072919917,4687832.981610012,18.9,3.0
1759102782.0,328929.47798845003,4687832.248033989,18.9,3.0
1759102783.0,328929.5882198567,4687831.134261068,19.1,1.8
1759102784.0,328929.1536259726,4687830.218967165,18.9,1.8
1759102785.0,328928.4443605915,4687829.310377769,18.9,1.8
1759102786.0,328927.8724307482,4687828.398436184,18.9,1.8
1759102787.0,328927.4333190705,4687827.298072264,19.1,1.8
1759102788.0,328926.8568715096,4687826.2010606425,19.0,1.8
1759102789.0,328926.42679445224,4687825.470837013,18.9,3.1
1759102790.0,328926.2623539801,4687824.363768603,19.0,3.1
1759102791.0,328926.23976673424,4687823.438418026,19.1,3.0
1759102792.0,328926.0753262121,4687822.3313496215,19.2,3.0
1759102793.0,328925.636213942,4687821.230985807,19.1,3.0
1759102794.0,328924.78961139993,4687820.325749048,19.1,1.8
1759102795.0,328924.07130953146,4687819.047019832,19.0,1.8
1759102796.0,328923.36655997124,4687818.323501025,19.0,3.0
1759102797.0,328923.06478299806,4687817.219785024,18.9,3.0
1759102798.0,328923.58250417677,4687815.910884882,18.9,1.8
1759102799.0,328922.8732367443,4687815.002296005,18.9,3.0
1759102800.0,328922.7178306531,4687814.265367898,19.1,3.0
1759102801.0,328922.42057098926,4687813.346722034,19.1,1.3
1759102802.0,328922.5262842822,4687812.047878895,19.3,1.3
1759102803.0,328921.688715408,4687811.512782703,19.3,1.0
1759102804.0,328921.1213009531,4687810.785911739,19.3,1.0
1759102805.0,328920.40299755894,4687809.50718287,19.2,1.0
1759102806.0,328919.9593661437,4687808.221749267,19.2,1.0
1759102807.0,328919.662105919,4687807.30310351,19.0,1.1
1759102808.0,328919.49766417337,4687806.196035246,19.0,1.1
1759102809.0,328919.0540324256,4687804.910601696,19.0,1.0
1759102810.0,328918.47306433157,4687803.628520596,18.9,1.0
1759102811.0,328917.8920960391,4687802.34643954,18.8,1.0
1759102812.0,328917.44394615735,4687800.875935973,18.8,1.0
1759102813.0,328917.27498633706,4687799.583797648,18.9,1.0
1759102814.0,328916.84038917685,4687798.668504446,18.8,1.0
1759102815.0,328916.6714292214,4687797.376366135,18.5,1.0
1759102816.0,328916.08594248665,4687795.909215105,18.5,1.0
1759102817.0,328915.50045553094,4687794.442064121,18.2,1.0
1759102818.0,328914.9240037562,4687793.345053399,18.2,1.8
1759102819.0,328914.4894059616,4687792.429760333,18.2,1.2
1759102820.0,328913.7710997077,4687791.151032087,18.3,1.8
1759102821.0,328913.4602848977,4687789.677176246,18.1,1.8
1759102822.0,328913.2958419721,4687788.570108114,18.1,1.0
1759102823.0,328913.1313990061,4687787.46303999,18.2,1.0
1759102824.0,328912.69228291244,4687786.362676917,18.2,1.0
1759102825.0,328911.9875290996,4687785.63915916,18.1,1.8
1759102826.0,328911.4155939347,4687784.7272188105,18.1,1.8
1759102827.0,328910.98099521955,4687783.811925945,18.0,1.8
1759102828.0,328910.25816973904,4687782.348127925,17.7,1.8
1759102829.0,328909.41156081937,4687781.442892877,17.7,1.8
1759102830.0,328908.4321328794,4687780.726080643,17.9,1.8
1759102831.0,328907.4436689728,4687779.6391283255,18.0,1.8
1759102832.0,328906.5880235641,4687778.363753392,18.0,1.0
1759102833.0,328905.5950411287,4687777.091731215,17.9,1.0
1759102834.0,328905.014068612,4687775.809651145,18.2,1.3
1759102835.0,328904.5749506334,4687774.70928854,18.4,1.3
1759102836.0,328904.26865137153,4687773.420503171,18.5,1.4
1759102837.0,328903.55485950137,4687772.326846002,18.5,1.4
1759102838.0,328902.9829222533,4687771.414906293,18.6,1.4
1759102839.0,328902.9512963389,4687770.1194155635,18.7,1.4
1759102840.0,328902.9241884178,4687769.00899494,18.9,1.4
1759102841.0,328902.3522508488,4687768.097055278,19.1,1.4
1759102842.0,328901.78483115416,4687767.370185763,19.2,1.4
1759102843.0,328901.21289331745,4687766.458246186,19.2,1.4
1759102844.0,328901.0484481871,4687765.351178312,19.2,1.1
1759102845.0,328900.6138470891,4687764.435886039,19.3,1.4
1759102846.0,328900.4448837978,4687763.143748071,19.3,1.4
1759102847.0,328900.2759204648,4687761.851610108,19.3,1.4
1759102848.0,328900.24881219096,4687760.741189497,19.3,1.3
1759102849.0,328900.3545229576,4687759.442346028,19.5,1.3
1759102850.0,328900.3138605986,4687757.776715113,19.6,1.3
1759102851.0,328900.1358611064,4687756.114436957,19.7,1.3
1759102852.0,328899.559404191,4687755.017427398,19.8,3.0
1759102853.0,328899.2621395429,4687754.098782432,19.8,3.1
1759102854.0,328898.9693928984,4687753.365207582,20.0,3.1
1759102855.0,328898.94228449045,4687752.254786979,20.2,3.0
1759102856.0,328898.1047068896,4687751.719693391,20.2,1.8
1759102857.0,328897.80744194426,4687750.801048484,20.3,3.0
1759102858.0,328897.514695034,4687750.067473688,20.3,3.0
1759102859.0,328897.3547672402,4687749.145475996,20.3,3.0
1759102860.0,328896.9246829265,4687748.415254029,20.3,3.0
1759102861.0,328896.4991166536,4687747.870102188,20.2,3.0
1759102862.0,328895.2540445493,4687747.530137502,20.3,3.0
1759102863.0,328893.73881586926,4687747.381948882,20.3,1.3
